% time	cellId	IMSI	RNTI	sinrLinear
7.441	1	1	1	3314.01
7.481	1	1	1	3312.4
7.521	1	1	1	3310.77
7.561	1	1	1	3309.11
7.601	1	1	1	3307.43
7.641	1	1	1	3305.73
7.681	1	1	1	3304
7.721	1	1	1	3302.25
7.761	1	1	1	3300.47
7.801	1	1	1	3298.67
7.841	1	1	1	3296.85
7.881	1	1	1	3295
7.921	1	1	1	3293.13
7.961	1	1	1	3291.23
8.001	1	1	1	3289.31
8.041	1	1	1	3287.37
8.081	1	1	1	3285.41
8.121	1	1	1	3283.42
8.161	1	1	1	3281.4
8.201	1	1	1	3279.37
8.241	1	1	1	3277.31
8.281	1	1	1	3275.23
8.321	1	1	1	3273.12
8.361	1	1	1	3271
8.401	1	1	1	3268.85
8.441	1	1	1	3266.68
8.481	1	1	1	3264.48
8.521	1	1	1	3262.26
8.561	1	1	1	3260.02
8.601	1	1	1	3257.76
8.641	1	1	1	3255.48
8.681	1	1	1	3253.17
8.721	1	1	1	3250.85
8.761	1	1	1	3248.5
8.801	1	1	1	3246.13
8.841	1	1	1	3243.73
8.881	1	1	1	3241.32
8.921	1	1	1	3238.89
8.961	1	1	1	3236.43
9.001	1	1	1	3233.95
9.041	1	1	1	3231.45
9.081	1	1	1	3228.93
9.121	1	1	1	3226.39
9.161	1	1	1	3223.83
9.201	1	1	1	3221.25
9.241	1	1	1	3218.65
9.281	1	1	1	3216.02
9.321	1	1	1	3213.38
9.361	1	1	1	3210.72
9.401	1	1	1	3208.03
9.441	1	1	1	3205.33
9.481	1	1	1	3202.61
9.521	1	1	1	3199.87
9.561	1	1	1	3197.1
9.601	1	1	1	3194.32
9.641	1	1	1	3191.52
9.681	1	1	1	3188.7
9.721	1	1	1	3185.86
9.761	1	1	1	3183
9.801	1	1	1	3180.12
9.841	1	1	1	3177.23
9.881	1	1	1	3174.31
9.921	1	1	1	3171.38
9.961	1	1	1	3168.43
10.001	1	1	1	3165.45
10.041	1	1	1	3162.47
10.081	1	1	1	3159.46
10.121	1	1	1	3156.43
10.161	1	1	1	3153.39
10.201	1	1	1	3150.33
10.241	1	1	1	3147.25
10.281	1	1	1	3144.16
10.321	1	1	1	3141.04
10.361	1	1	1	3137.91
10.401	1	1	1	3134.77
10.441	1	1	1	3131.6
10.481	1	1	1	3128.42
10.521	1	1	1	3125.22
10.561	1	1	1	3122.01
10.601	1	1	1	3118.78
10.641	1	1	1	3115.53
10.681	1	1	1	3112.26
10.721	1	1	1	3108.98
10.761	1	1	1	3105.69
10.801	1	1	1	3102.38
10.841	1	1	1	3099.05
10.881	1	1	1	3095.7
10.921	1	1	1	3092.35
10.961	1	1	1	3088.97
11.001	1	1	1	3085.58
11.041	1	1	1	3082.18
11.081	1	1	1	3078.76
11.121	1	1	1	3075.32
11.161	1	1	1	3071.87
11.201	1	1	1	3068.41
11.241	1	1	1	3064.93
11.281	1	1	1	3061.43
11.321	1	1	1	3057.93
11.361	1	1	1	3054.41
11.401	1	1	1	3050.87
11.441	1	1	1	3047.32
11.481	1	1	1	3043.76
11.521	1	1	1	3040.18
11.561	1	1	1	3036.59
11.601	1	1	1	3032.98
11.641	1	1	1	3029.37
11.681	1	1	1	3025.74
11.721	1	1	1	3022.09
11.761	1	1	1	3018.44
11.801	1	1	1	3014.77
11.841	1	1	1	3011.09
11.881	1	1	1	3007.39
11.921	1	1	1	3003.68
11.961	1	1	1	2999.96
12.001	1	1	1	2996.23
12.041	1	1	1	2992.49
12.081	1	1	1	2988.73
12.121	1	1	1	2984.97
12.161	1	1	1	2981.19
12.201	1	1	1	2977.4
12.241	1	1	1	2973.6
12.281	1	1	1	2969.78
12.321	1	1	1	2965.96
12.361	1	1	1	2962.13
12.401	1	1	1	2958.28
12.441	1	1	1	2954.42
12.481	1	1	1	2950.56
12.521	1	1	1	2946.68
12.561	1	1	1	2942.79
12.601	1	1	1	2938.89
12.641	1	1	1	2934.98
12.681	1	1	1	2931.06
12.721	1	1	1	2927.13
12.761	1	1	1	2923.19
12.801	1	1	1	2919.25
12.841	1	1	1	2915.29
12.881	1	1	1	2911.32
12.921	1	1	1	2907.34
12.961	1	1	1	2903.36
13.001	1	1	1	2899.36
13.041	1	1	1	2895.36
13.081	1	1	1	2891.35
13.121	1	1	1	2887.33
13.161	1	1	1	2883.3
13.201	1	1	1	2879.26
13.241	1	1	1	2875.21
13.281	1	1	1	2871.15
13.321	1	1	1	2867.09
13.361	1	1	1	2863.02
13.401	1	1	1	2858.94
13.441	1	1	1	2854.85
13.481	1	1	1	2850.76
13.521	1	1	1	2846.66
13.561	1	1	1	2842.55
13.601	1	1	1	2838.43
13.641	1	1	1	2834.31
13.681	1	1	1	2830.17
13.721	1	1	1	2826.04
13.761	1	1	1	2821.89
13.801	1	1	1	2817.74
13.841	1	1	1	2813.58
13.881	1	1	1	2809.42
13.921	1	1	1	2805.25
13.961	1	1	1	2801.07
14.001	1	1	1	2796.88
14.041	1	1	1	2792.69
14.081	1	1	1	2788.5
14.121	1	1	1	2784.3
14.161	1	1	1	2780.09
14.201	1	1	1	2775.88
14.241	1	1	1	2771.66
14.281	1	1	1	2767.43
14.321	1	1	1	2763.2
14.361	1	1	1	2758.97
14.401	1	1	1	2754.73
14.441	1	1	1	2750.48
14.481	1	1	1	2746.24
14.521	1	1	1	2741.98
14.561	1	1	1	2737.72
14.601	1	1	1	2733.46
14.641	1	1	1	2729.19
14.681	1	1	1	2724.92
14.721	1	1	1	2720.64
14.761	1	1	1	2716.36
14.801	1	1	1	2712.08
14.841	1	1	1	2707.79
14.881	1	1	1	2703.5
14.921	1	1	1	2699.2
14.961	1	1	1	2694.9
15.001	1	1	1	2690.6
15.041	1	1	1	2686.29
15.081	1	1	1	2681.98
15.121	1	1	1	2677.66
15.161	1	1	1	2673.35
15.201	1	1	1	2669.03
15.241	1	1	1	2664.71
15.281	1	1	1	2660.38
15.321	1	1	1	2656.05
15.361	1	1	1	2651.72
15.401	1	1	1	2647.39
15.441	1	1	1	2643.05
