% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
1421	1	1	1	0	28	2292	0	1
1431	1	1	1	0	28	2292	0	1
1441	1	1	1	0	28	2292	0	1
1451	1	1	1	0	28	2292	0	1
1461	1	1	1	0	28	2292	0	1
1471	1	1	1	0	28	2292	0	1
1481	1	1	1	0	28	2292	0	1
1491	1	1	1	0	28	2292	0	1
1501	1	1	1	0	28	2292	0	1
1511	1	1	1	0	28	2292	0	1
1521	1	1	1	0	28	2292	0	1
1531	1	1	1	0	28	2292	0	1
1541	1	1	1	0	28	2292	0	1
1551	1	1	1	0	28	2292	0	1
1561	1	1	1	0	28	2292	0	1
1571	1	1	1	0	28	2292	0	1
1581	1	1	1	0	28	2292	0	1
1591	1	1	1	0	28	2292	0	1
1601	1	1	1	0	28	2292	0	1
1611	1	1	1	0	28	2292	0	1
1621	1	1	1	0	28	2292	0	1
1631	1	1	1	0	28	2292	0	1
1641	1	1	1	0	28	2292	0	1
1651	1	1	1	0	28	2292	0	1
1661	1	1	1	0	28	2292	0	1
1671	1	1	1	0	28	2292	0	1
1681	1	1	1	0	28	2292	0	1
1691	1	1	1	0	28	2292	0	1
1701	1	1	1	0	28	2292	0	1
1711	1	1	1	0	28	2292	0	1
1721	1	1	1	0	28	2292	0	1
1731	1	1	1	0	28	2292	0	1
1741	1	1	1	0	28	2292	0	1
1751	1	1	1	0	28	2292	0	1
1761	1	1	1	0	28	2292	0	1
1771	1	1	1	0	28	2292	0	1
1781	1	1	1	0	28	2292	0	1
1791	1	1	1	0	28	2292	0	1
1801	1	1	1	0	28	2292	0	1
1811	1	1	1	0	28	2292	0	1
1821	1	1	1	0	28	2292	0	1
1831	1	1	1	0	28	2292	0	1
1841	1	1	1	0	28	2292	0	1
1851	1	1	1	0	28	2292	0	1
1861	1	1	1	0	28	2292	0	1
1871	1	1	1	0	28	2292	0	1
1881	1	1	1	0	28	2292	0	1
1891	1	1	1	0	28	2292	0	1
1901	1	1	1	0	28	2292	0	1
1911	1	1	1	0	28	2292	0	1
1921	1	1	1	0	28	2292	0	1
1931	1	1	1	0	28	2292	0	1
1941	1	1	1	0	28	2292	0	1
1951	1	1	1	0	28	2292	0	1
1961	1	1	1	0	28	2292	0	1
1971	1	1	1	0	28	2292	0	1
1981	1	1	1	0	28	2292	0	1
1991	1	1	1	0	28	2292	0	1
2001	1	1	1	0	28	2292	0	1
2011	1	1	1	0	28	2292	0	1
2021	1	1	1	0	28	2292	0	1
2031	1	1	1	0	28	2292	0	1
2041	1	1	1	0	28	2292	0	1
2051	1	1	1	0	28	2292	0	1
2061	1	1	1	0	28	2292	0	1
2071	1	1	1	0	28	2292	0	1
2081	1	1	1	0	28	2292	0	1
2091	1	1	1	0	28	2292	0	1
2101	1	1	1	0	28	2292	0	1
2111	1	1	1	0	28	2292	0	1
2141	1	1	1	0	28	2292	0	1
2142	1	1	1	0	28	2292	0	1
2151	1	1	1	0	28	2292	0	1
2161	1	1	1	0	28	2292	0	1
2171	1	1	1	0	28	2292	0	1
2181	1	1	1	0	28	2292	0	1
2191	1	1	1	0	28	2292	0	1
2201	1	1	1	0	28	2292	0	1
2211	1	1	1	0	28	2292	0	1
2221	1	1	1	0	28	2292	0	1
2231	1	1	1	0	28	2292	0	1
2251	1	1	1	0	28	2292	0	1
2261	1	1	1	0	28	2292	0	1
2271	1	1	1	0	28	2292	0	1
2281	1	1	1	0	28	2292	0	1
2291	1	1	1	0	28	2292	0	1
2301	1	1	1	0	28	2292	0	1
2311	1	1	1	0	28	2292	0	1
2321	1	1	1	0	28	2292	0	1
2331	1	1	1	0	28	2292	0	1
2341	1	1	1	0	28	2292	0	1
2351	1	1	1	0	28	2292	0	1
2361	1	1	1	0	28	2292	0	1
2371	1	1	1	0	28	2292	0	1
2391	1	1	1	0	28	2292	0	1
2401	1	1	1	0	28	2292	0	1
2411	1	1	1	0	28	2292	0	1
2421	1	1	1	0	28	2292	0	1
2431	1	1	1	0	28	2292	0	1
2441	1	1	1	0	28	2292	0	1
2451	1	1	1	0	28	2292	0	1
2461	1	1	1	0	28	2292	0	1
2471	1	1	1	0	28	2292	0	1
2481	1	1	1	0	28	2292	0	1
2491	1	1	1	0	28	2292	0	1
2501	1	1	1	0	28	2292	0	1
2511	1	1	1	0	28	2292	0	1
2521	1	1	1	0	28	2292	0	1
2531	1	1	1	0	28	2292	0	1
2541	1	1	1	0	28	2292	0	1
2551	1	1	1	0	28	2292	0	1
2561	1	1	1	0	28	2292	0	1
2571	1	1	1	0	28	2292	0	1
2581	1	1	1	0	28	2292	0	1
2591	1	1	1	0	28	2292	0	1
2601	1	1	1	0	28	2292	0	1
2611	1	1	1	0	28	2292	0	1
2621	1	1	1	0	28	2292	0	1
2631	1	1	1	0	28	2292	0	1
2641	1	1	1	0	28	2292	0	1
2651	1	1	1	0	28	2292	0	1
2661	1	1	1	0	28	2292	0	1
2671	1	1	1	0	28	2292	0	1
2681	1	1	1	0	28	2292	0	1
2691	1	1	1	0	28	2292	0	1
2701	1	1	1	0	28	2292	0	1
2711	1	1	1	0	28	2292	0	1
2721	1	1	1	0	28	2292	0	1
2731	1	1	1	0	28	2292	0	1
2741	1	1	1	0	28	2292	0	1
2751	1	1	1	0	28	2292	0	1
2761	1	1	1	0	28	2292	0	1
2771	1	1	1	0	28	2292	0	1
2781	1	1	1	0	28	2292	0	1
2791	1	1	1	0	28	2292	0	1
2801	1	1	1	0	28	2292	0	1
2811	1	1	1	0	28	2292	0	1
2821	1	1	1	0	28	2292	0	1
2831	1	1	1	0	28	2292	0	1
2841	1	1	1	0	28	2292	0	1
2851	1	1	1	0	28	2292	0	1
2861	1	1	1	0	28	2292	0	1
2881	1	1	1	0	28	2292	0	1
2891	1	1	1	0	28	2292	0	1
2901	1	1	1	0	28	2292	0	1
2911	1	1	1	0	28	2292	0	1
2921	1	1	1	0	28	2292	0	1
2931	1	1	1	0	28	2292	0	1
2941	1	1	1	0	28	2292	0	1
2951	1	1	1	0	28	2292	0	1
2961	1	1	1	0	28	2292	0	1
2971	1	1	1	0	28	2292	0	1
2981	1	1	1	0	28	2292	0	1
2991	1	1	1	0	28	2292	0	1
3001	1	1	1	0	28	2292	0	1
3011	1	1	1	0	28	2292	0	1
3021	1	1	1	0	28	2292	0	1
3031	1	1	1	0	28	2292	0	1
3041	1	1	1	0	28	2292	0	1
3051	1	1	1	0	28	2292	0	1
3061	1	1	1	0	28	2292	0	1
3071	1	1	1	0	28	2292	0	1
3081	1	1	1	0	28	2292	0	1
3091	1	1	1	0	28	2292	0	1
3101	1	1	1	0	28	2292	0	1
3111	1	1	1	0	28	2292	0	1
3121	1	1	1	0	28	2292	0	1
3131	1	1	1	0	28	2292	0	1
3141	1	1	1	0	28	2292	0	1
3151	1	1	1	0	28	2292	0	1
3161	1	1	1	0	28	2292	0	1
3171	1	1	1	0	28	2292	0	1
3181	1	1	1	0	28	2292	0	1
3191	1	1	1	0	28	2292	0	1
3201	1	1	1	0	28	2292	0	1
3211	1	1	1	0	28	2292	0	1
3221	1	1	1	0	28	2292	0	1
3231	1	1	1	0	28	2292	0	1
3251	1	1	1	0	28	2292	0	1
3261	1	1	1	0	28	2292	0	1
3271	1	1	1	0	28	2292	0	1
3281	1	1	1	0	28	2292	0	1
3291	1	1	1	0	28	2292	0	1
3301	1	1	1	0	28	2292	0	1
3311	1	1	1	0	28	2292	0	1
3321	1	1	1	0	28	2292	0	1
3331	1	1	1	0	28	2292	0	1
3341	1	1	1	0	28	2292	0	1
3351	1	1	1	0	28	2292	0	1
3361	1	1	1	0	28	2292	0	1
3371	1	1	1	0	28	2292	0	1
3381	1	1	1	0	28	2292	0	1
3391	1	1	1	0	28	2292	0	1
3401	1	1	1	0	28	2292	0	1
3411	1	1	1	0	28	2292	0	1
3421	1	1	1	0	28	2292	0	1
3431	1	1	1	0	28	2292	0	1
3441	1	1	1	0	28	2292	0	1
3451	1	1	1	0	28	2292	0	1
3461	1	1	1	0	28	2292	0	1
3471	1	1	1	0	28	2292	0	1
3481	1	1	1	0	28	2292	0	1
3491	1	1	1	0	28	2292	0	1
3501	1	1	1	0	28	2292	0	1
3511	1	1	1	0	28	2292	0	1
3521	1	1	1	0	28	2292	0	1
3531	1	1	1	0	28	2292	0	1
3541	1	1	1	0	28	2292	0	1
3551	1	1	1	0	28	2292	0	1
3561	1	1	1	0	28	2292	0	1
3571	1	1	1	0	28	2292	0	1
3581	1	1	1	0	28	2292	0	1
3591	1	1	1	0	28	2292	0	1
3601	1	1	1	0	28	2292	0	1
3611	1	1	1	0	28	2292	0	1
3621	1	1	1	0	28	2292	0	1
3631	1	1	1	0	28	2292	0	1
3641	1	1	1	0	28	2292	0	1
3651	1	1	1	0	28	2292	0	1
3661	1	1	1	0	28	2292	0	1
3671	1	1	1	0	28	2292	0	1
3681	1	1	1	0	28	2292	0	1
3701	1	1	1	0	28	2292	0	1
3711	1	1	1	0	28	2292	0	1
3721	1	1	1	0	28	2292	0	1
3731	1	1	1	0	28	2292	0	1
3741	1	1	1	0	28	2292	0	1
3751	1	1	1	0	28	2292	0	1
3761	1	1	1	0	28	2292	0	1
3771	1	1	1	0	28	2292	0	1
3781	1	1	1	0	28	2292	0	1
3791	1	1	1	0	28	2292	0	1
3801	1	1	1	0	28	2292	0	1
3811	1	1	1	0	28	2292	0	1
3821	1	1	1	0	28	2292	0	1
3831	1	1	1	0	28	2292	0	1
3841	1	1	1	0	28	2292	0	1
3851	1	1	1	0	28	2292	0	1
3861	1	1	1	0	28	2292	0	1
3871	1	1	1	0	28	2292	0	1
3881	1	1	1	0	28	2292	0	1
3891	1	1	1	0	28	2292	0	1
3901	1	1	1	0	28	2292	0	1
3911	1	1	1	0	28	2292	0	1
3921	1	1	1	0	28	2292	0	1
3931	1	1	1	0	28	2292	0	1
3941	1	1	1	0	28	2292	0	1
3951	1	1	1	0	28	2292	0	1
3961	1	1	1	0	28	2292	0	1
3971	1	1	1	0	28	2292	0	1
3981	1	1	1	0	28	2292	0	1
3991	1	1	1	0	28	2292	0	1
4001	1	1	1	0	28	2292	0	1
4011	1	1	1	0	28	2292	0	1
4021	1	1	1	0	28	2292	0	1
4031	1	1	1	0	28	2292	0	1
4041	1	1	1	0	28	2292	0	1
4051	1	1	1	0	28	2292	0	1
4061	1	1	1	0	28	2292	0	1
4071	1	1	1	0	28	2292	0	1
4081	1	1	1	0	28	2292	0	1
4091	1	1	1	0	28	2292	0	1
4101	1	1	1	0	28	2292	0	1
