% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct
43	1	1	1	0	0	28	2196	0	1	1
53	1	1	1	0	0	28	2196	0	1	1
63	1	1	1	0	0	28	2196	0	1	1
73	1	1	1	0	0	28	2196	0	1	1
83	1	1	1	0	0	28	2196	0	1	1
93	1	1	1	0	0	28	2196	0	1	1
103	1	1	1	0	0	28	2196	0	1	1
113	1	1	1	0	0	28	2196	0	1	1
123	1	1	1	0	0	28	2196	0	1	1
133	1	1	1	0	0	28	2196	0	1	1
143	1	1	1	0	0	28	2196	0	1	1
153	1	1	1	0	0	28	2196	0	1	1
163	1	1	1	0	0	28	2196	0	1	1
173	1	1	1	0	0	28	2196	0	1	1
183	1	1	1	0	0	28	2196	0	1	1
193	1	1	1	0	0	28	2196	0	1	1
203	1	1	1	0	0	28	2196	0	1	1
223	1	1	1	0	0	28	2196	0	1	1
233	1	1	1	0	0	28	2196	0	1	1
243	1	1	1	0	0	28	2196	0	1	1
253	1	1	1	0	0	28	2196	0	1	1
263	1	1	1	0	0	28	2196	0	1	1
273	1	1	1	0	0	28	2196	0	1	1
283	1	1	1	0	0	28	2196	0	1	1
303	1	1	1	0	0	28	2196	0	1	1
313	1	1	1	0	0	28	2196	0	1	1
323	1	1	1	0	0	28	2196	0	1	1
333	1	1	1	0	0	28	2196	0	1	1
343	1	1	1	0	0	28	2196	0	1	1
353	1	1	1	0	0	28	2196	0	1	1
363	1	1	1	0	0	28	2196	0	1	1
373	1	1	1	0	0	28	2196	0	1	1
383	1	1	1	0	0	28	2196	0	1	1
393	1	1	1	0	0	28	2196	0	1	1
403	1	1	1	0	0	28	2196	0	1	1
413	1	1	1	0	0	28	2196	0	1	1
423	1	1	1	0	0	28	2196	0	1	1
433	1	1	1	0	0	28	2196	0	1	1
443	1	1	1	0	0	28	2196	0	1	1
453	1	1	1	0	0	28	2196	0	1	1
463	1	1	1	0	0	28	2196	0	1	1
473	1	1	1	0	0	28	2196	0	1	1
483	1	1	1	0	0	28	2196	0	1	1
493	1	1	1	0	0	28	2196	0	1	1
503	1	1	1	0	0	28	2196	0	1	1
