% time	cellId	IMSI	RNTI	rsrp	sinr
2.34821	1	1	1	1.03214e-10	217594
2.34921	1	1	1	1.03215e-10	217597
2.35021	1	1	1	1.03217e-10	217600
2.35121	1	1	1	1.03218e-10	217603
2.35221	1	1	1	1.03219e-10	217606
2.35321	1	1	1	1.03221e-10	217609
2.35421	1	1	1	1.03222e-10	217611
2.35521	1	1	1	1.03223e-10	217614
2.35621	1	1	1	1.03225e-10	217617
2.35721	1	1	1	1.03226e-10	217620
2.35821	1	1	1	1.03228e-10	217623
2.35921	1	1	1	1.03229e-10	217626
2.36021	1	1	1	1.0323e-10	217628
2.36121	1	1	1	1.03232e-10	217631
2.36221	1	1	1	1.03233e-10	217634
2.36321	1	1	1	1.03234e-10	217637
2.36421	1	1	1	1.03236e-10	217640
2.36521	1	1	1	1.03237e-10	217642
2.36621	1	1	1	1.03238e-10	217645
2.36721	1	1	1	1.0324e-10	217648
2.36821	1	1	1	1.03241e-10	217651
2.36921	1	1	1	1.03242e-10	217654
2.37021	1	1	1	1.03244e-10	217657
2.37121	1	1	1	1.03245e-10	217659
2.37221	1	1	1	1.03246e-10	217662
2.37321	1	1	1	1.03248e-10	217665
2.37421	1	1	1	1.03249e-10	217668
2.37521	1	1	1	1.0325e-10	217671
2.37621	1	1	1	1.03252e-10	217673
2.37721	1	1	1	1.03253e-10	217676
2.37821	1	1	1	1.03254e-10	217679
2.37921	1	1	1	1.03256e-10	217682
2.38021	1	1	1	1.03257e-10	217685
2.38121	1	1	1	1.03258e-10	217687
2.38221	1	1	1	1.0326e-10	217690
2.38321	1	1	1	1.03261e-10	217693
2.38421	1	1	1	1.03262e-10	217696
2.38521	1	1	1	1.03264e-10	217699
2.38621	1	1	1	1.03265e-10	217701
2.38721	1	1	1	1.03266e-10	217704
2.38821	1	1	1	1.03268e-10	217707
2.38921	1	1	1	1.03269e-10	217710
2.39021	1	1	1	1.0327e-10	217713
2.39121	1	1	1	1.03271e-10	217715
2.39221	1	1	1	1.03273e-10	217718
2.39321	1	1	1	1.03274e-10	217721
2.39421	1	1	1	1.03275e-10	217724
2.39521	1	1	1	1.03277e-10	217727
2.39621	1	1	1	1.03278e-10	217729
2.39721	1	1	1	1.03279e-10	217732
2.39821	1	1	1	1.03281e-10	217735
2.39921	1	1	1	1.03282e-10	217738
2.40021	1	1	1	1.03283e-10	217740
2.40121	1	1	1	1.03285e-10	217743
2.40221	1	1	1	1.03286e-10	217746
2.40321	1	1	1	1.03287e-10	217749
2.40421	1	1	1	1.03289e-10	217752
2.40521	1	1	1	1.0329e-10	217754
2.40621	1	1	1	1.03291e-10	217757
2.40721	1	1	1	1.03293e-10	217760
2.40821	1	1	1	1.03294e-10	217763
2.40921	1	1	1	1.03295e-10	217766
2.41021	1	1	1	1.03297e-10	217768
2.41121	1	1	1	1.03298e-10	217771
2.41221	1	1	1	1.03299e-10	217774
2.41321	1	1	1	1.03301e-10	217777
2.41421	1	1	1	1.03302e-10	217779
2.41521	1	1	1	1.03303e-10	217782
2.41621	1	1	1	1.03304e-10	217785
2.41721	1	1	1	1.03306e-10	217788
2.41821	1	1	1	1.03307e-10	217790
2.41921	1	1	1	1.03308e-10	217793
2.42021	1	1	1	1.0331e-10	217796
2.42121	1	1	1	1.03311e-10	217799
2.42221	1	1	1	1.03312e-10	217801
2.42321	1	1	1	1.03314e-10	217804
2.42421	1	1	1	1.03315e-10	217807
2.42521	1	1	1	1.03316e-10	217810
2.42621	1	1	1	1.03318e-10	217813
2.42721	1	1	1	1.03319e-10	217815
2.42821	1	1	1	1.0332e-10	217818
2.42921	1	1	1	1.03321e-10	217821
2.43021	1	1	1	1.03323e-10	217824
2.43121	1	1	1	1.03324e-10	217826
2.43221	1	1	1	1.03325e-10	217829
2.43321	1	1	1	1.03327e-10	217832
2.43421	1	1	1	1.03328e-10	217835
2.43521	1	1	1	1.03329e-10	217837
2.43621	1	1	1	1.03331e-10	217840
2.43721	1	1	1	1.03332e-10	217843
2.43821	1	1	1	1.03333e-10	217846
2.43921	1	1	1	1.03335e-10	217848
2.44021	1	1	1	1.03336e-10	217851
2.44121	1	1	1	1.03337e-10	217854
2.44221	1	1	1	1.03338e-10	217857
2.44321	1	1	1	1.0334e-10	217859
2.44421	1	1	1	1.03341e-10	217862
2.44521	1	1	1	1.03342e-10	217865
2.44621	1	1	1	1.03344e-10	217867
2.44721	1	1	1	1.03345e-10	217870
2.44821	1	1	1	1.03346e-10	217873
2.44921	1	1	1	1.03348e-10	217876
2.45021	1	1	1	1.03349e-10	217878
2.45121	1	1	1	1.0335e-10	217881
2.45221	1	1	1	1.03351e-10	217884
2.45321	1	1	1	1.03353e-10	217887
2.45421	1	1	1	1.03354e-10	217889
2.45521	1	1	1	1.03355e-10	217892
2.45621	1	1	1	1.03357e-10	217895
2.45721	1	1	1	1.03358e-10	217898
2.45821	1	1	1	1.03359e-10	217900
2.45921	1	1	1	1.0336e-10	217903
2.46021	1	1	1	1.03362e-10	217906
2.46121	1	1	1	1.03363e-10	217908
2.46221	1	1	1	1.03364e-10	217911
2.46321	1	1	1	1.03366e-10	217914
2.46421	1	1	1	1.03367e-10	217917
2.46521	1	1	1	1.03368e-10	217919
2.46621	1	1	1	1.03369e-10	217922
2.46721	1	1	1	1.03371e-10	217925
2.46821	1	1	1	1.03372e-10	217927
2.46921	1	1	1	1.03373e-10	217930
2.47021	1	1	1	1.03375e-10	217933
2.47121	1	1	1	1.03376e-10	217936
2.47221	1	1	1	1.03377e-10	217938
2.47321	1	1	1	1.03379e-10	217941
2.47421	1	1	1	1.0338e-10	217944
2.47521	1	1	1	1.03381e-10	217946
2.47621	1	1	1	1.03382e-10	217949
2.47721	1	1	1	1.03384e-10	217952
2.47821	1	1	1	1.03385e-10	217955
2.47921	1	1	1	1.03386e-10	217957
2.48021	1	1	1	1.03387e-10	217960
2.48121	1	1	1	1.03389e-10	217963
2.48221	1	1	1	1.0339e-10	217965
2.48321	1	1	1	1.03391e-10	217968
2.48421	1	1	1	1.03393e-10	217971
2.48521	1	1	1	1.03394e-10	217973
2.48621	1	1	1	1.03395e-10	217976
2.48721	1	1	1	1.03396e-10	217979
2.48821	1	1	1	1.03398e-10	217982
2.48921	1	1	1	1.03399e-10	217984
2.49021	1	1	1	1.034e-10	217987
2.49121	1	1	1	1.03402e-10	217990
2.49221	1	1	1	1.03403e-10	217992
2.49321	1	1	1	1.03404e-10	217995
2.49421	1	1	1	1.03405e-10	217998
2.49521	1	1	1	1.03407e-10	218000
2.49621	1	1	1	1.03408e-10	218003
2.49721	1	1	1	1.03409e-10	218006
2.49821	1	1	1	1.03411e-10	218008
2.49921	1	1	1	1.03412e-10	218011
2.50021	1	1	1	1.03413e-10	218014
2.50121	1	1	1	1.03414e-10	218017
2.50221	1	1	1	1.03416e-10	218019
2.50321	1	1	1	1.03417e-10	218022
2.50421	1	1	1	1.03418e-10	218025
2.50521	1	1	1	1.03419e-10	218027
2.50621	1	1	1	1.03421e-10	218030
2.50721	1	1	1	1.03422e-10	218033
2.50821	1	1	1	1.03423e-10	218035
2.50921	1	1	1	1.03424e-10	218038
2.51021	1	1	1	1.03426e-10	218041
2.51121	1	1	1	1.03427e-10	218043
2.51221	1	1	1	1.03428e-10	218046
2.51321	1	1	1	1.0343e-10	218049
2.51421	1	1	1	1.03431e-10	218051
2.51521	1	1	1	1.03432e-10	218054
2.51621	1	1	1	1.03433e-10	218057
2.51721	1	1	1	1.03435e-10	218059
2.51821	1	1	1	1.03436e-10	218062
2.51921	1	1	1	1.03437e-10	218065
2.52021	1	1	1	1.03438e-10	218067
2.52121	1	1	1	1.0344e-10	218070
2.52221	1	1	1	1.03441e-10	218073
2.52321	1	1	1	1.03442e-10	218075
2.52421	1	1	1	1.03443e-10	218078
2.52521	1	1	1	1.03445e-10	218081
2.52621	1	1	1	1.03446e-10	218083
2.52721	1	1	1	1.03447e-10	218086
2.52821	1	1	1	1.03448e-10	218089
2.52921	1	1	1	1.0345e-10	218091
2.53021	1	1	1	1.03451e-10	218094
2.53121	1	1	1	1.03452e-10	218097
2.53221	1	1	1	1.03454e-10	218099
2.53321	1	1	1	1.03455e-10	218102
2.53421	1	1	1	1.03456e-10	218104
2.53521	1	1	1	1.03457e-10	218107
2.53621	1	1	1	1.03459e-10	218110
2.53721	1	1	1	1.0346e-10	218112
2.53821	1	1	1	1.03461e-10	218115
2.53921	1	1	1	1.03462e-10	218118
2.54021	1	1	1	1.03464e-10	218120
2.54121	1	1	1	1.03465e-10	218123
2.54221	1	1	1	1.03466e-10	218126
2.54321	1	1	1	1.03467e-10	218128
2.54421	1	1	1	1.03469e-10	218131
2.54521	1	1	1	1.0347e-10	218134
2.54621	1	1	1	1.03471e-10	218136
2.54721	1	1	1	1.03472e-10	218139
2.54821	1	1	1	1.03474e-10	218141
2.54921	1	1	1	1.03475e-10	218144
2.55021	1	1	1	1.03476e-10	218147
2.55121	1	1	1	1.03477e-10	218149
2.55221	1	1	1	1.03479e-10	218152
2.55321	1	1	1	1.0348e-10	218155
2.55421	1	1	1	1.03481e-10	218157
2.55521	1	1	1	1.03482e-10	218160
2.55621	1	1	1	1.03484e-10	218163
2.55721	1	1	1	1.03485e-10	218165
2.55821	1	1	1	1.03486e-10	218168
2.55921	1	1	1	1.03487e-10	218170
2.56021	1	1	1	1.03489e-10	218173
2.56121	1	1	1	1.0349e-10	218176
2.56221	1	1	1	1.03491e-10	218178
2.56321	1	1	1	1.03492e-10	218181
2.56421	1	1	1	1.03494e-10	218184
2.56521	1	1	1	1.03495e-10	218186
2.56621	1	1	1	1.03496e-10	218189
2.56721	1	1	1	1.03497e-10	218191
2.56821	1	1	1	1.03498e-10	218194
2.56921	1	1	1	1.035e-10	218197
2.57021	1	1	1	1.03501e-10	218199
2.57121	1	1	1	1.03502e-10	218202
2.57221	1	1	1	1.03503e-10	218204
