% time	cellId	IMSI	RNTI	sinrLinear
7.441	1	1	1	4363.46
7.481	1	1	1	4383.41
7.521	1	1	1	4403.5
7.561	1	1	1	4423.72
7.601	1	1	1	4444.09
7.641	1	1	1	4464.59
7.681	1	1	1	4485.24
7.721	1	1	1	4506.03
7.761	1	1	1	4526.96
7.801	1	1	1	4548.04
7.841	1	1	1	4569.27
7.881	1	1	1	4590.65
7.921	1	1	1	4612.18
7.961	1	1	1	4633.86
8.001	1	1	1	4655.69
8.041	1	1	1	4677.68
8.081	1	1	1	4699.82
8.121	1	1	1	4722.12
8.161	1	1	1	4744.59
8.201	1	1	1	4767.21
8.241	1	1	1	4789.99
8.281	1	1	1	4812.94
8.321	1	1	1	4836.05
8.361	1	1	1	4859.33
8.401	1	1	1	4882.78
8.441	1	1	1	4906.4
8.481	1	1	1	4930.19
8.521	1	1	1	4954.15
8.561	1	1	1	4978.29
8.601	1	1	1	5002.6
8.641	1	1	1	5027.1
8.681	1	1	1	5051.77
8.721	1	1	1	5076.63
8.761	1	1	1	5101.67
8.801	1	1	1	5126.89
8.841	1	1	1	5152.31
8.881	1	1	1	5177.91
8.921	1	1	1	5203.7
8.961	1	1	1	5229.69
9.001	1	1	1	5255.87
9.041	1	1	1	5282.25
9.081	1	1	1	5308.83
9.121	1	1	1	5326.76
9.161	1	1	1	5326.76
9.201	1	1	1	5326.77
9.241	1	1	1	5326.77
9.281	1	1	1	5326.78
9.321	1	1	1	5326.79
9.361	1	1	1	5326.79
9.401	1	1	1	5326.8
9.441	1	1	1	5326.8
9.481	1	1	1	5326.81
9.521	1	1	1	5326.81
9.561	1	1	1	5326.82
9.601	1	1	1	5326.83
9.641	1	1	1	5326.83
9.681	1	1	1	5326.84
9.721	1	1	1	5326.84
9.761	1	1	1	5326.85
9.801	1	1	1	5326.86
9.841	1	1	1	5326.86
9.881	1	1	1	5326.87
9.921	1	1	1	5326.87
9.961	1	1	1	5326.88
10.001	1	1	1	5326.89
10.041	1	1	1	5326.89
10.081	1	1	1	5326.9
10.121	1	1	1	5326.91
10.161	1	1	1	5326.91
10.201	1	1	1	5326.92
10.241	1	1	1	5326.92
10.281	1	1	1	5326.93
10.321	1	1	1	5326.94
10.361	1	1	1	5326.94
10.401	1	1	1	5326.95
10.441	1	1	1	5326.96
10.481	1	1	1	5326.96
10.521	1	1	1	5326.97
10.561	1	1	1	5326.98
10.601	1	1	1	5326.98
10.641	1	1	1	5326.99
10.681	1	1	1	5327
10.721	1	1	1	5327
10.761	1	1	1	5327.01
10.801	1	1	1	5327.02
10.841	1	1	1	5327.02
10.881	1	1	1	5327.03
10.921	1	1	1	5327.04
10.961	1	1	1	5327.05
11.001	1	1	1	5327.05
11.041	1	1	1	5327.06
11.081	1	1	1	5327.07
11.121	1	1	1	5327.07
11.161	1	1	1	5327.08
11.201	1	1	1	5327.09
11.241	1	1	1	5327.1
11.281	1	1	1	5327.1
11.321	1	1	1	5327.11
11.361	1	1	1	5327.12
11.401	1	1	1	5327.13
11.441	1	1	1	5327.13
11.481	1	1	1	5327.14
11.521	1	1	1	5327.15
11.561	1	1	1	5327.16
11.601	1	1	1	5327.16
11.641	1	1	1	5327.17
11.681	1	1	1	5327.18
11.721	1	1	1	5327.19
11.761	1	1	1	5327.19
11.801	1	1	1	5327.2
11.841	1	1	1	5327.21
11.881	1	1	1	5327.22
11.921	1	1	1	5327.23
11.961	1	1	1	5327.23
12.001	1	1	1	5327.24
12.041	1	1	1	5327.25
12.081	1	1	1	5327.26
12.121	1	1	1	5327.27
12.161	1	1	1	5327.28
12.201	1	1	1	5327.28
12.241	1	1	1	5327.29
12.281	1	1	1	5327.3
12.321	1	1	1	5327.31
12.361	1	1	1	5327.32
12.401	1	1	1	5327.33
12.441	1	1	1	5327.34
12.481	1	1	1	5327.35
12.521	1	1	1	5327.35
12.561	1	1	1	5327.36
12.601	1	1	1	5327.37
12.641	1	1	1	5327.38
12.681	1	1	1	5327.39
12.721	1	1	1	5327.4
12.761	1	1	1	5327.41
12.801	1	1	1	5327.42
12.841	1	1	1	5327.43
12.881	1	1	1	5327.44
12.921	1	1	1	5327.45
12.961	1	1	1	5327.46
13.001	1	1	1	5327.47
13.041	1	1	1	5327.48
13.081	1	1	1	5327.49
13.121	1	1	1	5327.49
13.161	1	1	1	5327.5
13.201	1	1	1	5327.51
13.241	1	1	1	5327.52
13.281	1	1	1	5327.53
13.321	1	1	1	5327.55
13.361	1	1	1	5327.56
13.401	1	1	1	5327.57
13.441	1	1	1	5327.58
13.481	1	1	1	5327.59
13.521	1	1	1	5327.6
13.561	1	1	1	5327.61
13.601	1	1	1	5327.62
13.641	1	1	1	5327.63
13.681	1	1	1	5327.64
13.721	1	1	1	5327.65
13.761	1	1	1	5327.66
13.801	1	1	1	5327.67
13.841	1	1	1	5327.68
13.881	1	1	1	5327.69
13.921	1	1	1	5327.71
13.961	1	1	1	5327.72
14.001	1	1	1	5327.73
14.041	1	1	1	5327.74
14.081	1	1	1	5327.75
14.121	1	1	1	5327.76
14.161	1	1	1	5327.78
14.201	1	1	1	5327.79
14.241	1	1	1	5327.8
14.281	1	1	1	5327.81
14.321	1	1	1	5327.82
14.361	1	1	1	5327.84
14.401	1	1	1	5327.85
14.441	1	1	1	5327.86
14.481	1	1	1	5327.87
14.521	1	1	1	5327.89
14.561	1	1	1	5327.9
14.601	1	1	1	5327.91
14.641	1	1	1	5327.92
14.681	1	1	1	5327.94
14.721	1	1	1	5327.95
14.761	1	1	1	5327.96
14.801	1	1	1	5327.98
14.841	1	1	1	5327.99
14.881	1	1	1	5328
14.921	1	1	1	5328.02
14.961	1	1	1	5328.03
15.001	1	1	1	5328.04
15.041	1	1	1	5328.06
15.081	1	1	1	5328.07
15.121	1	1	1	5328.09
15.161	1	1	1	5328.1
15.201	1	1	1	5328.12
15.241	1	1	1	5328.13
15.281	1	1	1	5328.14
15.321	1	1	1	5328.16
15.361	1	1	1	5328.17
15.401	1	1	1	5328.19
15.441	1	1	1	5328.2
15.481	1	1	1	5328.22
15.521	1	1	1	5328.24
15.561	1	1	1	5328.25
15.601	1	1	1	5328.27
15.641	1	1	1	5328.28
15.681	1	1	1	5328.3
